agent_receive_unix_time_ms,agent_receive_monotonic_time_ns,sdk_receive_unix_time_ms,agent_session_id,telemetry_sequence,transport_stream_id,drone_id,lat_deg,lon_deg,rel_alt_m,battery_percent,mode,gps_fix_type,gps_hdop,horizontal_accuracy_m,estimator_state,goal_id,goal_revision,physical_attempt_id,physical_attempt_revision,operation_id
1787255458861,3319866918967250,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",43,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255459063,3319867120824208,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",44,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255459339,3319867397127250,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",45,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255459667,3319867724465500,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",46,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,67,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255459940,3319867998262625,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",47,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255460263,3319868320817041,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",48,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255460608,3319868665681833,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",49,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255460913,3319868970574083,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",50,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255461174,3319869231393833,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",51,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255461437,3319869494545208,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",52,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255461713,3319869771191875,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",53,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255461964,3319870021348333,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",54,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,4.99900007,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255462225,3319870282306333,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",55,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255462670,3319870727416875,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",56,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
1787255463010,3319871067767541,1787255513160,"agent-session-1787255276918-1790892970145920185013645599045014863377-1",57,"telemetry-1787255513158-935200053191103802414446539474399702762-2","drone-3",-35.363261999999999,149.16663689999999,5,66,"GUIDED",6,1.21000004,0.300000012,2,"",0,"",0,""
