scenario,sample_index,request_certificate_serialize_latency_us
delayed_telemetry,82,537.16700000000003
delayed_telemetry,83,545.83399999999995
delayed_telemetry,84,553.58299999999997
delayed_telemetry,85,575.95799999999997
delayed_telemetry,86,546.08299999999997
delayed_telemetry,87,550.20899999999995
delayed_telemetry,88,548.16600000000005
delayed_telemetry,89,546.5
delayed_telemetry,90,554.20799999999997
delayed_telemetry,91,578.70899999999995
delayed_telemetry,92,586.20799999999997
delayed_telemetry,93,595.125
delayed_telemetry,94,582.08299999999997
delayed_telemetry,95,594.58299999999997
delayed_telemetry,96,584.375
delayed_telemetry,97,581.54200000000003
delayed_telemetry,98,593.125
delayed_telemetry,99,563.29200000000003
delayed_telemetry,100,618.95899999999995
delayed_telemetry,101,621.75
delayed_telemetry,102,614.04200000000003
delayed_telemetry,103,605.25
delayed_telemetry,104,605
delayed_telemetry,105,631.95799999999997
delayed_telemetry,106,630.33299999999997
delayed_telemetry,107,634.04200000000003
delayed_telemetry,108,625.375
delayed_telemetry,109,624.83299999999997
delayed_telemetry,110,634.41600000000005
delayed_telemetry,111,593.95899999999995
delayed_telemetry,112,618.16700000000003
delayed_telemetry,113,645.125
delayed_telemetry,114,666.20899999999995
delayed_telemetry,115,654.29200000000003
delayed_telemetry,116,688.125
delayed_telemetry,117,676.875
delayed_telemetry,118,717.41700000000003
delayed_telemetry,119,661.125
delayed_telemetry,120,664.08299999999997
delayed_telemetry,121,673.16700000000003
delayed_telemetry,122,704.58399999999995
delayed_telemetry,123,680.04100000000005
delayed_telemetry,124,687.91600000000005
delayed_telemetry,125,715.79200000000003
delayed_telemetry,126,692
delayed_telemetry,127,692.125
delayed_telemetry,128,698.83399999999995
delayed_telemetry,129,701.83299999999997
delayed_telemetry,130,691.29200000000003
delayed_telemetry,131,706.33399999999995
delayed_telemetry,132,731.95799999999997
delayed_telemetry,133,695.83399999999995
delayed_telemetry,134,717.79100000000005
delayed_telemetry,135,711.70799999999997
delayed_telemetry,136,777.25
delayed_telemetry,137,727.58399999999995
delayed_telemetry,138,719.33299999999997
delayed_telemetry,139,767.70799999999997
delayed_telemetry,140,750.04200000000003
delayed_telemetry,141,774.29200000000003
delayed_telemetry,142,759.25
delayed_telemetry,143,756.16700000000003
delayed_telemetry,144,777.25
delayed_telemetry,145,777.79200000000003
delayed_telemetry,146,770.875
delayed_telemetry,147,782.29100000000005
delayed_telemetry,148,781.79200000000003
delayed_telemetry,149,744.79200000000003
delayed_telemetry,150,790.83399999999995
delayed_telemetry,151,773.79200000000003
delayed_telemetry,152,804.25
delayed_telemetry,153,784.29100000000005
delayed_telemetry,154,816.54200000000003
delayed_telemetry,155,775.5
delayed_telemetry,156,802.95799999999997
delayed_telemetry,157,776.75
delayed_telemetry,158,799.625
delayed_telemetry,159,800.29100000000005
delayed_telemetry,160,814.08299999999997
delayed_telemetry,161,835.16600000000005
delayed_telemetry,162,815.125
delayed_telemetry,163,814.375
delayed_telemetry,164,818.83399999999995
delayed_telemetry,165,788.45799999999997
delayed_telemetry,166,845.75
delayed_telemetry,167,850.45799999999997
delayed_telemetry,168,851.16700000000003
delayed_telemetry,169,861.25
delayed_telemetry,170,828.91600000000005
delayed_telemetry,171,836.79200000000003
delayed_telemetry,172,828.58399999999995
delayed_telemetry,173,845.08299999999997
delayed_telemetry,174,856.91700000000003
delayed_telemetry,175,911.45799999999997
delayed_telemetry,176,879.20899999999995
delayed_telemetry,177,856.75
delayed_telemetry,178,894.70799999999997
delayed_telemetry,179,877.625
delayed_telemetry,180,891.5
delayed_telemetry,181,871.33399999999995
delayed_telemetry,182,843.45799999999997
delayed_telemetry,183,894.875
delayed_telemetry,184,919.66700000000003
delayed_telemetry,185,881.54200000000003
delayed_telemetry,186,910.08299999999997
delayed_telemetry,187,903.66700000000003
delayed_telemetry,188,902.875
delayed_telemetry,189,923.66600000000005
delayed_telemetry,190,912.95799999999997
delayed_telemetry,191,967.33299999999997
delayed_telemetry,192,891.91600000000005
delayed_telemetry,193,933.45799999999997
delayed_telemetry,194,926.625
delayed_telemetry,195,911.83299999999997
delayed_telemetry,196,909.45899999999995
delayed_telemetry,197,938.91700000000003
delayed_telemetry,198,977.04200000000003
delayed_telemetry,199,970.125
agent_restart_delayed_old_epoch,0,6218.7920000000004
agent_restart_delayed_old_epoch,1,6309.0420000000004
agent_restart_delayed_old_epoch,2,6179.25
agent_restart_delayed_old_epoch,3,6294.0829999999996
agent_restart_delayed_old_epoch,4,6198.8329999999996
agent_restart_delayed_old_epoch,5,6219.2920000000004
agent_restart_delayed_old_epoch,6,6301.2920000000004
agent_restart_delayed_old_epoch,7,6290.3329999999996
agent_restart_delayed_old_epoch,8,6296
agent_restart_delayed_old_epoch,9,6288.2920000000004
agent_restart_delayed_old_epoch,10,6315.4170000000004
agent_restart_delayed_old_epoch,11,6281.3329999999996
agent_restart_delayed_old_epoch,12,6258.9170000000004
agent_restart_delayed_old_epoch,13,6283.5829999999996
agent_restart_delayed_old_epoch,14,6256.25
agent_restart_delayed_old_epoch,15,6243.7079999999996
agent_restart_delayed_old_epoch,16,6261.1670000000004
agent_restart_delayed_old_epoch,17,6187.375
agent_restart_delayed_old_epoch,18,6254.7920000000004
agent_restart_delayed_old_epoch,19,6218.9589999999998
agent_restart_delayed_old_epoch,20,6588.25
agent_restart_delayed_old_epoch,21,6028.2910000000002
agent_restart_delayed_old_epoch,22,6458.9579999999996
agent_restart_delayed_old_epoch,23,6525.875
agent_restart_delayed_old_epoch,24,6606.5
agent_restart_delayed_old_epoch,25,6537.5
agent_restart_delayed_old_epoch,26,6518.4579999999996
agent_restart_delayed_old_epoch,27,6533.75
agent_restart_delayed_old_epoch,28,6532.9579999999996
agent_restart_delayed_old_epoch,29,6462.7920000000004
agent_restart_delayed_old_epoch,30,6572.9160000000002
agent_restart_delayed_old_epoch,31,6514.4589999999998
agent_restart_delayed_old_epoch,32,6453.2079999999996
agent_restart_delayed_old_epoch,33,6449.8329999999996
agent_restart_delayed_old_epoch,34,6079.5829999999996
agent_restart_delayed_old_epoch,35,6569.2910000000002
agent_restart_delayed_old_epoch,36,6446.5
agent_restart_delayed_old_epoch,37,6463.5829999999996
agent_restart_delayed_old_epoch,38,6624.7920000000004
agent_restart_delayed_old_epoch,39,6541
agent_restart_delayed_old_epoch,40,6520.125
agent_restart_delayed_old_epoch,41,6518.625
agent_restart_delayed_old_epoch,42,6601.3329999999996
agent_restart_delayed_old_epoch,43,6535
agent_restart_delayed_old_epoch,44,6474.7079999999996
agent_restart_delayed_old_epoch,45,6438.7079999999996
agent_restart_delayed_old_epoch,46,6436.6660000000002
agent_restart_delayed_old_epoch,47,6564.25
agent_restart_delayed_old_epoch,48,6464.9589999999998
agent_restart_delayed_old_epoch,49,6599
agent_restart_delayed_old_epoch,50,6591.4170000000004
agent_restart_delayed_old_epoch,51,6497.3329999999996
agent_restart_delayed_old_epoch,52,6518.5420000000004
agent_restart_delayed_old_epoch,53,6568.25
agent_restart_delayed_old_epoch,54,6568
agent_restart_delayed_old_epoch,55,6540.9589999999998
agent_restart_delayed_old_epoch,56,6465.25
agent_restart_delayed_old_epoch,57,6489.1670000000004
agent_restart_delayed_old_epoch,58,6465.2910000000002
agent_restart_delayed_old_epoch,59,5992.8329999999996
agent_restart_delayed_old_epoch,60,6570.75
agent_restart_delayed_old_epoch,61,6538.4170000000004
agent_restart_delayed_old_epoch,62,6641
agent_restart_delayed_old_epoch,63,6532.0410000000002
agent_restart_delayed_old_epoch,64,6590.9589999999998
agent_restart_delayed_old_epoch,65,6612.4589999999998
agent_restart_delayed_old_epoch,66,6523.5
agent_restart_delayed_old_epoch,67,6614.125
agent_restart_delayed_old_epoch,68,6525.1670000000004
agent_restart_delayed_old_epoch,69,6588.8329999999996
agent_restart_delayed_old_epoch,70,6457.25
agent_restart_delayed_old_epoch,71,6422
agent_restart_delayed_old_epoch,72,6579.2079999999996
agent_restart_delayed_old_epoch,73,6394.7089999999998
agent_restart_delayed_old_epoch,74,6533.9589999999998
agent_restart_delayed_old_epoch,75,6543.5420000000004
agent_restart_delayed_old_epoch,76,6479.5
agent_restart_delayed_old_epoch,77,6532.4170000000004
agent_restart_delayed_old_epoch,78,6654.7920000000004
agent_restart_delayed_old_epoch,79,6535.125
agent_restart_delayed_old_epoch,80,6638.0829999999996
agent_restart_delayed_old_epoch,81,6586
agent_restart_delayed_old_epoch,82,6549.25
agent_restart_delayed_old_epoch,83,6541.3339999999998
agent_restart_delayed_old_epoch,84,6664.5410000000002
agent_restart_delayed_old_epoch,85,6625.375
agent_restart_delayed_old_epoch,86,6485.9160000000002
agent_restart_delayed_old_epoch,87,6524
agent_restart_delayed_old_epoch,88,6635.9170000000004
agent_restart_delayed_old_epoch,89,6627.7910000000002
agent_restart_delayed_old_epoch,90,6488.875
agent_restart_delayed_old_epoch,91,6562.9579999999996
agent_restart_delayed_old_epoch,92,6657.5
agent_restart_delayed_old_epoch,93,6550.9579999999996
agent_restart_delayed_old_epoch,94,6583.875
agent_restart_delayed_old_epoch,95,6591.3329999999996
agent_restart_delayed_old_epoch,96,6659
agent_restart_delayed_old_epoch,97,6552.125
agent_restart_delayed_old_epoch,98,6573.2920000000004
agent_restart_delayed_old_epoch,99,6447.9170000000004
agent_restart_delayed_old_epoch,100,6625.9160000000002
agent_restart_delayed_old_epoch,101,6664.0839999999998
agent_restart_delayed_old_epoch,102,6547.5829999999996
agent_restart_delayed_old_epoch,103,6614.75
agent_restart_delayed_old_epoch,104,6523.2079999999996
agent_restart_delayed_old_epoch,105,6662.75
agent_restart_delayed_old_epoch,106,6591.625
agent_restart_delayed_old_epoch,107,6663.6660000000002
agent_restart_delayed_old_epoch,108,6547.25
agent_restart_delayed_old_epoch,109,6478.25
agent_restart_delayed_old_epoch,110,6633.625
agent_restart_delayed_old_epoch,111,6540.5410000000002
agent_restart_delayed_old_epoch,112,6686.2920000000004
agent_restart_delayed_old_epoch,113,6593.125
agent_restart_delayed_old_epoch,114,6516.9579999999996
agent_restart_delayed_old_epoch,115,6543.875
agent_restart_delayed_old_epoch,116,6571.1660000000002
agent_restart_delayed_old_epoch,117,6514.5420000000004
agent_restart_delayed_old_epoch,118,6573.9579999999996
agent_restart_delayed_old_epoch,119,6515.625
agent_restart_delayed_old_epoch,120,6594.8339999999998
agent_restart_delayed_old_epoch,121,6605.0420000000004
agent_restart_delayed_old_epoch,122,6516
agent_restart_delayed_old_epoch,123,6647.375
agent_restart_delayed_old_epoch,124,6581.7910000000002
agent_restart_delayed_old_epoch,125,6628.9589999999998
agent_restart_delayed_old_epoch,126,6569.5829999999996
agent_restart_delayed_old_epoch,127,6613.7079999999996
agent_restart_delayed_old_epoch,128,6656.0829999999996
agent_restart_delayed_old_epoch,129,6616.0420000000004
agent_restart_delayed_old_epoch,130,6518.625
agent_restart_delayed_old_epoch,131,6584.125
agent_restart_delayed_old_epoch,132,6654.875
agent_restart_delayed_old_epoch,133,6149.5
agent_restart_delayed_old_epoch,134,6618.25
agent_restart_delayed_old_epoch,135,6589.9160000000002
agent_restart_delayed_old_epoch,136,6645.75
agent_restart_delayed_old_epoch,137,6663.2079999999996
agent_restart_delayed_old_epoch,138,6831.5
agent_restart_delayed_old_epoch,139,6741.0839999999998
agent_restart_delayed_old_epoch,140,6704.0420000000004
agent_restart_delayed_old_epoch,141,6696
agent_restart_delayed_old_epoch,142,6540.3339999999998
agent_restart_delayed_old_epoch,143,6641.5829999999996
agent_restart_delayed_old_epoch,144,6614.75
agent_restart_delayed_old_epoch,145,6659.625
agent_restart_delayed_old_epoch,146,6728.7910000000002
agent_restart_delayed_old_epoch,147,6703.4170000000004
agent_restart_delayed_old_epoch,148,6705.8339999999998
agent_restart_delayed_old_epoch,149,6518.2079999999996
agent_restart_delayed_old_epoch,150,6626.3339999999998
agent_restart_delayed_old_epoch,151,6691.4589999999998
agent_restart_delayed_old_epoch,152,6705.0829999999996
agent_restart_delayed_old_epoch,153,6468.25
agent_restart_delayed_old_epoch,154,6740.0839999999998
agent_restart_delayed_old_epoch,155,6681.7079999999996
agent_restart_delayed_old_epoch,156,6711.125
agent_restart_delayed_old_epoch,157,6696.7910000000002
agent_restart_delayed_old_epoch,158,6646.875
agent_restart_delayed_old_epoch,159,6601.2079999999996
agent_restart_delayed_old_epoch,160,6754.125
agent_restart_delayed_old_epoch,161,6808.5829999999996
agent_restart_delayed_old_epoch,162,6666.5
agent_restart_delayed_old_epoch,163,6647.875
agent_restart_delayed_old_epoch,164,6606.9170000000004
agent_restart_delayed_old_epoch,165,6677.8339999999998
agent_restart_delayed_old_epoch,166,6758.5
agent_restart_delayed_old_epoch,167,6701.7920000000004
agent_restart_delayed_old_epoch,168,6716.1670000000004
agent_restart_delayed_old_epoch,169,6749.2920000000004
