replicate_id,motion_seed,fault_seed,scenario_id,method,requests,accepted,true_accepts,false_accepts,true_rejects,false_rejects,enclosures_tested,containment_failures
35,227496352486774043,17927692744347032214,0,2,100,99,99,0,0,1,297,0
36,10407102038042272184,12375875252863819661,0,0,100,100,100,0,0,0,0,0
36,10407102038042272184,12375875252863819661,0,1,100,100,100,0,0,0,0,0
36,10407102038042272184,12375875252863819661,0,2,100,99,99,0,0,1,297,0
37,4267529692386032381,15000137421504311344,0,0,100,100,100,0,0,0,0,0
37,4267529692386032381,15000137421504311344,0,1,100,100,100,0,0,0,0,0
37,4267529692386032381,15000137421504311344,0,2,100,99,99,0,0,1,297,0
38,8494821390787606338,4450066921698105943,0,0,100,100,100,0,0,0,0,0
38,8494821390787606338,4450066921698105943,0,1,100,100,100,0,0,0,0,0
38,8494821390787606338,4450066921698105943,0,2,100,99,99,0,0,1,297,0
39,6910402922770238631,9644610841534983514,0,0,100,100,100,0,0,0,0,0
39,6910402922770238631,9644610841534983514,0,1,100,100,100,0,0,0,0,0
39,6910402922770238631,9644610841534983514,0,2,100,99,99,0,0,1,297,0
40,4008714893987389780,4431631180497658417,0,0,100,100,100,0,0,0,0,0
40,4008714893987389780,4431631180497658417,0,1,100,100,100,0,0,0,0,0
40,4008714893987389780,4431631180497658417,0,2,100,99,99,0,0,1,297,0
41,8362665835234397177,3564658578136880900,0,0,100,100,100,0,0,0,0,0
41,8362665835234397177,3564658578136880900,0,1,100,100,100,0,0,0,0,0
41,8362665835234397177,3564658578136880900,0,2,100,99,99,0,0,1,297,0
42,3400424375343960062,11858664101225710267,0,0,100,100,100,0,0,0,0,0
42,3400424375343960062,11858664101225710267,0,1,100,100,100,0,0,0,0,0
42,3400424375343960062,11858664101225710267,0,2,100,99,99,0,0,1,297,0
43,4619782524672878147,11586744196142740494,0,0,100,100,100,0,0,0,0,0
43,4619782524672878147,11586744196142740494,0,1,100,100,100,0,0,0,0,0
43,4619782524672878147,11586744196142740494,0,2,100,99,99,0,0,1,297,0
44,5885750343499270368,5442670568631668389,0,0,100,100,100,0,0,0,0,0
44,5885750343499270368,5442670568631668389,0,1,100,100,100,0,0,0,0,0
44,5885750343499270368,5442670568631668389,0,2,100,99,99,0,0,1,297,0
45,12196532709613882821,5196293181376749416,0,0,100,100,100,0,0,0,0,0
45,12196532709613882821,5196293181376749416,0,1,100,100,100,0,0,0,0,0
45,12196532709613882821,5196293181376749416,0,2,100,99,99,0,0,1,297,0
46,3734636061985099818,6628994961845012367,0,0,100,100,100,0,0,0,0,0
46,3734636061985099818,6628994961845012367,0,1,100,100,100,0,0,0,0,0
46,3734636061985099818,6628994961845012367,0,2,100,99,99,0,0,1,297,0
47,12467931653091690479,18415636602129564786,0,0,100,100,100,0,0,0,0,0
47,12467931653091690479,18415636602129564786,0,1,100,100,100,0,0,0,0,0
47,12467931653091690479,18415636602129564786,0,2,100,99,99,0,0,1,297,0
48,8904377412729884668,14051544349545911049,0,0,100,100,100,0,0,0,0,0
48,8904377412729884668,14051544349545911049,0,1,100,100,100,0,0,0,0,0
48,8904377412729884668,14051544349545911049,0,2,100,99,99,0,0,1,297,0
49,17446664036809962113,3449919916160251996,0,0,100,100,100,0,0,0,0,0
49,17446664036809962113,3449919916160251996,0,1,100,100,100,0,0,0,0,0
49,17446664036809962113,3449919916160251996,0,2,100,99,99,0,0,1,297,0
0,16810207103304354796,7778489605723501386,1,0,100,95,95,0,0,5,0,0
0,16810207103304354796,7778489605723501386,1,1,100,0,0,0,0,100,0,0
0,16810207103304354796,7778489605723501386,1,2,100,0,0,0,0,100,0,0
1,4668941500697059185,18165055997478494019,1,0,100,95,95,0,0,5,0,0
1,4668941500697059185,18165055997478494019,1,1,100,0,0,0,0,100,0,0
1,4668941500697059185,18165055997478494019,1,2,100,0,0,0,0,100,0,0
2,16320440670712453270,14976347651662435352,1,0,100,95,95,0,0,5,0,0
2,16320440670712453270,14976347651662435352,1,1,100,0,0,0,0,100,0,0
2,16320440670712453270,14976347651662435352,1,2,100,0,0,0,0,100,0,0
